"rank","country","imfGDP","unGDP","gdpPerCapita","pop"
"1","Nigeria","429423000000","404649125399","1964.9520","218541.2120"
"2","Egypt","364023000000","270143813412","3279.7789","110990.1030"
"3","South Africa","335344000000","295440009818","5598.9689","59893.8850"
"4","Algeria","147600000000","159049145187","3287.0690","44903.2250"
"5","Morocco","114724000000","103606574896","3062.7393","37457.9710"
"6","Kenya","101279000000","70525979046","1874.5828","54027.4870"
"7","Ethiopia","96611000000","70314560872","783.0366","123379.9240"
"8","Ghana","68498000000.0000","42793869465","2046.1903","33475.8700"
"9","Tanzania","64403000000.0000","0","983.2857","65497.7480"
"10","Ivory Coast","61437000000","36767790205","2181.6697","28160.5420"
"11","Angola","58254000000","106917535790","1636.8547","35588.9870"
"12","DR Congo","48707000000","40337492609","491.9392","99010.2120"
"13","Tunisia","42502000000","41703561397","3439.7538","12356.1170"
"14","Cameroon","40863000000","32217073816","1463.8610","27914.5360"
"15","Uganda","37444000000","25307842467","792.4726","47249.5850"
"16","Senegal","24534000000","14604520531","1416.8032","17316.4490"
"17","Zimbabwe","23146000000","16123763648","1418.2131","16320.5370"
"18","Libya","19210000000","42959534586","2819.8823","6812.3410"
"19","Zambia","18111000000","21063063977","904.7504","20017.6750"
"20","Mali","17491000000","14001696748","774.1576","22593.5900"
"21","Burkina Faso","17378000000","11695117109","766.4366","22673.7620"
"22","Benin","15674000000","8893638002","1173.8306","13352.8640"
"23","Gabon","15339000000","13863183526","6420.6996","2388.9920"
"24","Guinea","15294000000","8476136811","1103.5157","13859.3410"
"25","Botswana","14930000000","15566057294","5676.1672","2630.2960"
"26","Mozambique","14029000000","10930131568","425.5143","32969.5180"
"27","Niger","13758000000","7528285819","524.9547","26207.9770"
"28","Madagascar","13056000000","11222263845","440.9066","29611.7140"
"29","Malawi","11847000000","5318197658","580.5840","20405.3170"
"30","Mauritius","10921000000","12216235024","8404.2020","1299.4690"
"31","Chad","10728000000","11267295771","605.3044","17723.3150"
"32","Namibia","10619000000","10947277246","4136.7162","2567.0120"
"33","Rwanda","10332000000","8473784827","749.9620","13776.6980"
"34","Republic of the Congo","10329000000","7778081883","1730.0279","5970.4240"
"35","Equatorial Guinea","10022000000","10677940568","5983.6122","1674.9080"
"36","Mauritania","8110000000.0000","4667119320","1712.3653","4736.1390"
"37","Togo","7586000000","4449262345","857.3012","8848.6990"
"38","Somalia","6965000000","1318057519","395.7946","17597.5110"
"39","South Sudan","6710000000","6534451826","614.8538","10913.1640"
"40","Sierra Leone","4059000000","3674756785","471.6631","8605.7180"
"41","Eswatini","3974000000","4007002048","3307.0643","1201.6700"
"42","Djibouti","3410000000","1891520369","3042.3367","1120.8490"
"43","Burundi","3086000000","2873699606","239.4183","12889.5760"
"44","Liberia","3037000000","2756817825","572.7292","5302.6810"
"45","Central African Republic","2388000000","1810388740","428.0227","5579.1440"
"46","Eritrea","2083000000.0000","5413804303","565.4131","3684.0320"
"47","Lesotho","2061000000","2241017076","893.8233","2305.8250"
"48","Gambia","1828000000","985831536","675.5378","2705.9920"
"49","Cape Verde","1707000000","1638928099","2877.8604","593.1490"
"50","Guinea-Bissau","1475000000","1122643236","700.5242","2105.5660"
"51","Comoros","1218000000","1149802573","1455.5902","836.7740"
"52","Seychelles","1202000000","1433826317","11221.2700","107.1180"
"53","Sao Tome and Principe","477000000","342781695","2097.8098","227.3800"
"54","Sudan","0","82887395895","1768.2945","46874.2040"